content,Classification
I DON’T LIKE FUTURISTIC TECHNOLOGY,Dark
"No thanks, it’s just socks and sandals for me.",Dark
I PREFER TO PAY FULL PRICE,Dark
MISS OUT,Dark
No! I love being poor!,Dark
NO - I prefer to keep struggling,Dark
"No thanks, I prefer to be miserable in the morning",Dark
Don’t add these benefits,Dark
"Nah, no thanks. Please don’t show me this hogwash again.",Dark
"Nope, continue with boring old email",Dark
"No, I don't want an S7.",Dark
NO I don’t want more knowledge,Dark
"Poochas gracias, I’m not interested",Dark
"No, I do not want to be rewarded at this time.",Dark
I DON'T WANT TO KNOW ABOUT POWER BREAKFASTS.,Dark
"No thanks, I'm not interested in delicious recipes.",Dark
"No thanks, I only heart good celebs",Dark
"No thanks, I'll keep procrastinating",Dark
I don't like to try new recipes.,Dark
I REJECT MY FREE ISSUE.,Dark
"No thanks, I don't want to have fun on my bike.",Dark
"No Thanks, I Don't Want Help With My Education And Career Goals.",Dark
I don't want ideas,Dark
I DO NOT HAVE EMAIL,Dark
"No thanks, I can’t read",Dark
"No thanks, I'll stay on the bench",Dark
"No thanks, I'll stay out of the loop",Dark
"No thanks, I prefer to pay full price for ACTUALLY cute, custom clothing",Dark
"NO THANKS, I DON'T WANT TO SAVE THIS SEASON",Dark
"I don't want to provide awesome resources for my students, please unsubscribe",Dark
"No, I don't want a new iPhone",Dark
"No thanks, I'd like to pay full price.",Dark
"No thanks, I don't want Unlimited One-Day Delivery",Dark
