Pattern String,classification,Pattern Type
228 People Have Viewed This Product Recently!,0.0,Activity Notification
3 other people are currently viewing this item.,0.0,Activity Notification
"Michael in Pontiac, United States purchased a  ",0.0,Activity Notification
Other 2 customers have it in their cart.,0.0,Activity Notification
1044 sold in past 12 months,0.0,Activity Notification
2 customers recently bought it,0.0,Activity Notification
2 PEOPLE HAVE ADDED THIS ITEM TO THEIR CART TODAY,0.0,Activity Notification
One customer bought this article in the last 53 min.,0.0,Activity Notification
2+ people just viewed this product,0.0,Activity Notification
Over 238 people have bought this product,0.0,Activity Notification
994 items sold this hour.,0.0,Activity Notification
Sara from Philadelphia just saved $68 on her order.,0.0,Activity Notification
52 people have added this product to bag in the last 72 hours,0.0,Activity Notification
4 bought in the last 24 hours.,0.0,Activity Notification
Someone in Spain purchased,0.0,Activity Notification
137 users are currently active on our website,0.0,Activity Notification
4 people are looking at this right now.,0.0,Activity Notification
Last purchased at 11:19am today.,0.0,Activity Notification
41 people have looked at this in the last couple of hours,0.0,Activity Notification
6 others have already bought this deal today!,0.0,Activity Notification
232 people are viewing this offer!,0.0,Activity Notification
436 users are currently active on our website Just now,0.0,Activity Notification
39 people have this in their cart,0.0,Activity Notification
"50% OFF Everything (yep, even sale) + $5.99 Shipping* ENDS IN 12h 13m 56s",0.0,Countdown Timer
Your order is reserved for 09:45 minutes!,0.0,Countdown Timer
11 11 Hours: 00 22 Minutes: 3223 3223 Seconds Sale Ends Once The Timer Hits Zero!,0.0,Countdown Timer
Your order is reserved for 08:48 minutes!,0.0,Countdown Timer
HURRY! EXCLUSIVE DEAL FOR YOU! 1 4 : 4 5,0.0,Countdown Timer
00DAYS02HRS14MINS1211SEC,0.0,Countdown Timer
"Due To HIGH Demand, Cart Expires In: 08:41",0.0,Countdown Timer
Hurry up! Prices increase in 0 DAYS 11 HRS 59 MINS 55 SECS,0.0,Countdown Timer
Cart will expire in 04:53 minutes!,0.0,Countdown Timer
Your order is reserved for 09:35 minutes!,0.0,Countdown Timer
00DAYS00HOURS14MINUTES21SECONDS,0.0,Countdown Timer
Today's sale ends in: 00hours:57min:19sec,0.0,Countdown Timer
Hurry up! Sale Ends in,0.0,Countdown Timer
Your cart is reserved for 09:35 minutes.,0.0,Countdown Timer
0 Days 2 Hours 57 Minutes 53 Seconds,0.0,Countdown Timer
Your order is reserved for 09:54 minutes!,0.0,Countdown Timer
Your cart is reserved for 14:57 minutes!,0.0,Countdown Timer
Your order is reserved for 09:57 minutes!,0.0,Countdown Timer
00 Days 02 Hrs 26 Mins 12 Sec Sale Ends Once The Timer Hits Zero!,0.0,Countdown Timer
Activate within 0:30:00,0.0,Countdown Timer
00DAYS07HOURS09MINUTES39SECONDS,0.0,Countdown Timer
FREE NECKLACE FOR MOM 01Days 01Hrs 35Mins 02Secs,0.0,Countdown Timer
Hurry up! Discount Ends in DAYS HRS MINS SECS,0.0,Countdown Timer
EXTRA -30% OFF WITH CODE: EXTRA30 Ends in: 0 0 0 0 days 0 0 4 4 hours . 0 0 9 9 min . 2 2 8 8 sec,0.0,Countdown Timer
Your order is reserved for 09:56 minutes!,0.0,Countdown Timer
Cart will expire in 08:19 minutes!,0.0,Countdown Timer
SAVE $200 OFF PUFFY,0.0,Countdown Timer
11 11 Hours: 00 22 Minutes: 3223 3223 Seconds,0.0,Countdown Timer
00DAYS00HOURS47MINUTES36SECONDS SALE ENDS ONCE COUNTER HITS ZERO,0.0,Countdown Timer
01 Hours 37 Minutes 48 Seconds 1/10s,0.0,Countdown Timer
13:09:27 HOURS MINUTES SECONDS Sale Ends Once The Timer Hits Zero!,0.0,Countdown Timer
00Days17Hours12Mins13Secs,0.0,Countdown Timer
Your order is reserved for 29:52 minutes!,0.0,Countdown Timer
Hurry! This special sale ends in 2h 42m 0s,0.0,Countdown Timer
Enter your email VIEW MY CODE OFFER EXPIRES IN: 0 minutes 00 seconds EXTRA 10% OFF,0.0,Countdown Timer
YOUR CART IS ELIGIBLE FOR AN ADDITIONAL 10% OFF Including Current Promotions + Sale & Clearance 00 hours :29 minutes :26 seconds CHECK OUT NOW,0.0,Countdown Timer
"Save 25% on your entire order 09 Hours 57 Minutes 34Seconds use code: SPRING25""",0.0,Countdown Timer
Your order is reserved for 08:53 minutes!,0.0,Countdown Timer
Sale ending in 0 days 04 hours 12 minutes 10 seconds,0.0,Countdown Timer
Your order is reserved for 19:57 minutes.,0.0,Countdown Timer
00 DAYS 00 HOURS 29 MINUTES 26 SECONDS,0.0,Countdown Timer
Discount pending $10 OFF 00:30:00,0.0,Countdown Timer
Your order will be reserved for 6:56 minutes.,0.0,Countdown Timer
02:06:40 left to buy,0.0,Countdown Timer
Special sale ends in,0.0,Countdown Timer
0011Days:0088Hours:4411Minutes:21125445Seconds,0.0,Countdown Timer
FLASH 19:15:22,0.0,Countdown Timer
02 DAYS :23 HOURS :00 MINS :54 SECS,0.0,Countdown Timer
Please Order Within: 0 0 : 0 2 : 4 1 : 10 65,0.0,Countdown Timer
Explosive Offers! 80% Off Everything 07:25:41,0.0,Countdown Timer
Hurry up! Sales Ends in DAYS HRS MINS SECS by Beeketing ,0.0,Countdown Timer
Your order is prioritized for 13:22 minutes!,0.0,Countdown Timer
LIMITED TIME LEFT! 00 : 46 : 11,0.0,Countdown Timer
00 HRS 57 MINS 56 SECS,0.0,Countdown Timer
2 DAYS 13:06:13,0.0,Countdown Timer
Sale Ends in 5 days 14 hours 42 mins 53 sec,0.0,Countdown Timer
"Hurry! Sale Ends In:

02:59:50",0.0,Countdown Timer
Spring Sale Extended,0.0,Countdown Timer
ENDS IN - Flash Offer - TWO PAIRS OF SHOES FOR $319 PROMO CODE AUTO-APPLIED AT CHECKOUT! 0 Days : 16 Hours : 09 Minutes : 57 Seconds,0.0,Countdown Timer
2day 13:49:51 Left,0.0,Countdown Timer
Days left until the offer ends: 00 Days 04:43:35,0.0,Countdown Timer
Your cart is reserved for 14:05 minutes!,0.0,Countdown Timer
"SALE ENDS IN 19 DAYS, 9 HOURS, 50 MINUTES, 54 SECONDS",0.0,Countdown Timer
Your one-time offer! Enjoy 10% off sitewide. Applied at checkout Offer ends in: 04 hrs 37 min 56 sec,0.0,Countdown Timer
Checkout within 04:10 so we don't run out of stock!,0.0,Countdown Timer
Deal expires in: 03 hrs 25 mins 22 sec,0.0,Countdown Timer
1day21:04:58,0.0,Countdown Timer
-90% discount if you order within 9:55:44,0.0,Countdown Timer
OFFER EXPIRES IN: YES NO Want 10% Off Your First Order? 7 minutes 35 seconds,0.0,Countdown Timer
Order in 13:16 to get $200 off your mattress,0.0,Countdown Timer
60% OFF ENDS IN DAYS HOURS MINUTES SECONDS,0.0,Countdown Timer
00:15:07:45,0.0,Countdown Timer
BE QUICK 00:57:33 DON'T MISS OUT,0.0,Countdown Timer
VIP OFFERS END 00:54:59,0.0,Countdown Timer
Offer ends in 15hrs 1min 56sec!,0.0,Countdown Timer
3Days01:49:51 Left,0.0,Countdown Timer
Your order is reserved for 09:58 minutes!,0.0,Countdown Timer
activate within 10:00,0.0,Countdown Timer
Your Cart Will Expire In 09:58 minutes!Please note that these items may not be available again if you release them.,0.0,Countdown Timer
0:44:56,0.0,Countdown Timer
Hurry Up ! Time is running out,0.0,Countdown Timer
Hurry! Sale ends in:,0.0,Countdown Timer
4 days 05:46:20,0.0,Countdown Timer
Complete your purchase within the next 12:18 minutes and receive 10% off,0.0,Countdown Timer
HAUTELOOK 04:53,0.0,Countdown Timer
Offer ends 0Hours:04Minutes:46Seconds,0.0,Countdown Timer
25% OFF* ENDS IN 00 : 12 : 27 : 15 DAYS HRS. MIN. SEC.,0.0,Countdown Timer
3DAYS124606,0.0,Countdown Timer
Items will be reserved in your cart for 19:10,0.0,Countdown Timer
OFFER ENDS IN: 00:32:04 TIME IS RUNNING OUT!,0.0,Countdown Timer
Offer ends in,0.0,Countdown Timer
You left 2 items in your bag Released in: 29 minutes :07 seconds,0.0,Countdown Timer
Wait! YOUR CART QUALIFIES FOR 15% OFF YOUR ENTIRE ORDER. Offer Expires in: 2955,0.0,Countdown Timer
Deal Ends In 2 : DAYS13 : HRS10 : MIN24 SEC,0.0,Countdown Timer
Flash Sale ends in SHOP NOW  ,0.0,Countdown Timer
DEAL ENDS IN 40:55:13,0.0,Countdown Timer
Offer ends in 9hrs 55min 29sec!,0.0,Countdown Timer
HURRY! DON'T MISS THIS DEAL! DAYS 0 1 HRS 1 2 MINS 3 1 SECONDS,0.0,Countdown Timer
Your order is reserved for 07:28 minutes!,0.0,Countdown Timer
Order in 14:53 to get 2 pillows for free,0.0,Countdown Timer
HURRY! ENDS IN: 10 HRS 40 MIN 00 SEC,0.0,Countdown Timer
Flash Sale - Almost Over! 00 HOURS : 55 1001 MINUTES : 0550 8778 SECONDS,0.0,Countdown Timer
LAST CHANCE - UP TO 70% OFF - ENDS IN: 20 HRS 28 MINS 30 SECS,0.0,Countdown Timer
1DAYS 04 HOURS 17 MINUTES 18 SECONDS,0.0,Countdown Timer
HURRY! YOUR 10% OFF EXPIRES IN 29:43,0.0,Countdown Timer
Offer ends in 03 days 19 hours : 54 mins : 22 secs,0.0,Countdown Timer
35% OFF EVERYTHING* EXCL SALE & BEAUTY ENTER: DOLL35 - HURRY! ENDS IN  16H 59M 06S,0.0,Countdown Timer
"HURRY, ORDER WITHIN 16h 59m 06s TO GET 35% OFF EVERYTHING* EXCL SALE & BEAUTY ENTER: DOLL35",0.0,Countdown Timer
LAST CHANCE TO SAVE... enter your email to Save 20% on your first order 00 hours :29 minutes :43 seconds,0.0,Countdown Timer
DAYS HRS MINS SECS,0.0,Countdown Timer
OFFER ENDS 00:54:59,0.0,Countdown Timer
HURRY! ENDS IN: 11 HRS 20 MIN 13 SEC,0.0,Countdown Timer
Your order has been reserved for,0.0,Countdown Timer
"Ends in 1 Days, 4 Minutes, 44 Seconds",0.0,Countdown Timer
HURRY UP > 09H 42M 39S,0.0,Countdown Timer
Your order is reserved for 09:43 minutes!,0.0,Countdown Timer
Items reserved for 15:00,0.0,Countdown Timer
Massive Tax Time Sale See Discounts! Sale ends in,0.0,Countdown Timer
1 day 08:15:25,0.0,Countdown Timer
SAVE 10% On All Orders. No Voucher Code Needed Expires in 18:07:59.,0.0,Countdown Timer
"UP TO 60% OFF SPRING SALE PLUS 10% OFF ALL SHOWERS ENTER CODE SHOWERS10 AT CHECKOUT, MUST END TUESDAY 02DAYS  :  04HOURS  :  13MINS  :  28SECS",0.0,Countdown Timer
"Hurry, Limited Time Offer! 11:25",0.0,Countdown Timer
Time remaining: 04:50,0.0,Countdown Timer
Price Guaranteed For DAYS/HRS/MINS/SECS,0.0,Countdown Timer
"Hurry, Sale ends in 9 Hours!",0.0,Countdown Timer
Selling fast!,0.0,High-demand Message
"An item you ordered is in high demand. No worries, we have reserved your order.",0.0,High-demand Message
Will sell out fast!,0.0,High-demand Message
Strong demand! Complete your order before it's too late!,0.0,High-demand Message
Items in your cart are in VERY high-demand.,0.0,High-demand Message
Items in your cart are in high demand.,0.0,High-demand Message
Extremely high demand: expect 2-4 weeks for it to arrive (to be safe). Limit 4 per person!,0.0,High-demand Message
High demand,0.0,High-demand Message
HIGH DEMAND,0.0,High-demand Message
"An item you ordered is in high demand. No worries, we have prioritized your order.",0.0,High-demand Message
This item is in high demand.,0.0,High-demand Message
"Sorry, this is out of stock. You just missed it.",0.0,High-demand Message
Items in your cart are selling fast,0.0,High-demand Message
Items in your cart are in high demand. But we have reserved your order.,0.0,High-demand Message
"ONCE IT'S GONE, IT'S GONE",0.0,High-demand Message
SELLING FAST! GET 10% OFF THIS ITEM. ACTIVATE NOW.,0.0,High-demand Message
"Items in your cart are in high demand, but we have reserved your order.",0.0,High-demand Message
"Our items sell fast, don't miss out!",0.0,High-demand Message
AN ITEM IN YOUR CART IS SELLING OUT QUICKLY,0.0,High-demand Message
IN HIGH DEMAND!,0.0,High-demand Message
"Hurry, this style is selling fast!",0.0,High-demand Message
In demand,0.0,High-demand Message
Selling Fast,0.0,High-demand Message
LIMITED OFFER: $125 Off + 2 Free Pillows,0.0,Limited-time Message
Sale ends soon,0.0,Limited-time Message
* Limited Time Offer *\nFREE\nTLPWR1 Test Leads!,0.0,Limited-time Message
"Here for a limited time. 4.5"" Red Bottle Sticker w/ Adam's Logo",0.0,Limited-time Message
LIMITED TIME BLOW OUT SALE UP TO 70% OFF! 110% BEST PRICE GUARANTEE!,0.0,Limited-time Message
FREE SHIPPING FOR A LIMITED TIME | PRICES ARE IN USD AND INCLUDE ALL IMPORT DUTIES.,0.0,Limited-time Message
"Flash Sale Alert! You can now buy Utorch Corridor Porch Aisle Lights from Gearbest.com for only $7.99 (47% off). Hurry up, limited time offer!",0.0,Limited-time Message
Limited Time Offer,0.0,Limited-time Message
Limited time offer,0.0,Limited-time Message
"LIMITED TIME - BUY THE NEW PURPLE PLUSH PILLOW, GET ONE FREE",0.0,Limited-time Message
"Now 30% off - hurry, limited time offer!",0.0,Limited-time Message
LIMITED TIME DEAL!,0.0,Limited-time Message
Wait! Take 10% off Your First Order Deal Expires Soon!,0.0,Limited-time Message
LIMITED TIME SALE,0.0,Limited-time Message
ONLY AVAILABLE FOR A LIMITED TIME,0.0,Limited-time Message
50% OFF for Limited Time Only!!!,0.0,Limited-time Message
"Only available for a LIMITED TIME, so get yours TODAY!",0.0,Limited-time Message
LIMITED TIME OFFER! FREE SHIPPING OVER $99 + FREE RETURNS*,0.0,Limited-time Message
Ends Sunday! $200 off any mattress . free shipping & free returns!,0.0,Limited-time Message
Act now and save $12.99. Limited time only!,0.0,Limited-time Message
"For a limited time, buy 2 Hydroxycut Hardcore Elite, 30 Servings for $30!",0.0,Limited-time Message
(LIMITED TIME OFFER) TORSION GUN HOLSTER SUPER COMBO,0.0,Limited-time Message
ON SALE AT $1.99 FOR A LIMITED TIME,0.0,Limited-time Message
LIMITED TIME: FREE SHIPPING LOWERED TO ORDERS OVER $69.95!,0.0,Limited-time Message
"LIMITED TIME OFFER 10% OFF - ENTER CODE \""CASES\"" AT CHECKOUT",0.0,Limited-time Message
Sale ends soon:,0.0,Limited-time Message
FOR A LIMITED TIME ONLY,0.0,Limited-time Message
Limited Time Promo $194.00,0.0,Limited-time Message
Limited Time Offer!,0.0,Limited-time Message
LIMITED TIME ONLY: FREE SHIPPING TO SELECT COUNTRIES ON ORDERS OVER $100!,0.0,Limited-time Message
Limited Time,0.0,Limited-time Message
$69.50 For A Limited Time Details,0.0,Limited-time Message
FLASH SALE | LIMITED TIME ONLY Shop Now,0.0,Limited-time Message
Limited Time Sale - Buy Now!,0.0,Limited-time Message
LIMITED TIME: $10 OFF! DISCOUNT REFLECTED IN PRICE!,0.0,Limited-time Message
SLEEP EVENT OFFERS - LIMITED TIME ONLY,0.0,Limited-time Message
Limited Time: $10 Off! Discount Reflected In Price!,0.0,Limited-time Message
Full HD 144Hz IPS Anti-Glare (1920 x 1080) FREE Upgrade (Limited time offer!),0.0,Limited-time Message
On Sale! Limited Time Offer!,0.0,Limited-time Message
FREE SHIPPING // FOR A LIMITED TIME ONLY,0.0,Limited-time Message
Limited Time Offers,0.0,Limited-time Message
Limited time remaining!,0.0,Limited-time Message
Limited Time Remaining!,0.0,Limited-time Message
Limited time - final price reflects extra 29% off,0.0,Limited-time Message
LIMITED TIME! - Save $5 OFF Orders $70+ Coupon: SAVE5 - PLUS - Free Gift on Orders $125+,0.0,Limited-time Message
LIMITED TIME ONLY!,0.0,Limited-time Message
LIMITED TIME ONLY,0.0,Limited-time Message
Free Shipping On Orders Over $49* - Limited Time Only,0.0,Limited-time Message
"$3,159.20 $3,949.00 Limited time only",0.0,Limited-time Message
Limited Time Only - Up to 30% OFF Freshwater Plants! SHOP NOW >,0.0,Limited-time Message
Limited Time Offer: 10% Off your first order!,0.0,Limited-time Message
FRAMON #2 Code Machine Offer - Limited time offer!,0.0,Limited-time Message
STOCK IS GUARANTEED FOR 60 MINUTES,0.0,Limited-time Message
"Hurry, before it is gone! Limited time remaining!",0.0,Limited-time Message
ON SALE: Select Seasonal T-Shirts only $19.99! Limited time only! Save Now!,0.0,Limited-time Message
LIMITED TIME OFFER!,0.0,Limited-time Message
LIMITED TIME ONLY *on select models,0.0,Limited-time Message
Limited Time Offer Limited Offer! 15% off on Naomi Home with Coupon 9N03. You pay $63.74,0.0,Limited-time Message
Limited Time!,0.0,Limited-time Message
Free Shipping. Limited Time Only. for orders over $50,0.0,Limited-time Message
Limited time - Free Shipping on all orders*,0.0,Limited-time Message
25% OFF SELECTED JACKETS Limited Time,0.0,Limited-time Message
40% OFF EVERYTHING* ENTER: 40PLT + FREE SHIPPING OVER $80 HURRY! LIMITED TIME ONLY,0.0,Limited-time Message
SAVE $300.00\nfor limited time,0.0,Limited-time Message
"Now 20% off, hurry limited time offer!",0.0,Limited-time Message
Site Wide Savings for the Entire Family! Pricing is off Rogan's Shoes every day Low Prices! Prices are already reflected on the site. Limited time only! Restrictions apply. Online Only.,0.0,Limited-time Message
LIMITED TIME OFFER MEN'S CHINOS & 5-POCKET PANTS BUY 2 FOR $59.90 EACH SHOP NOW,0.0,Limited-time Message
Limited time offer.,0.0,Limited-time Message
Hot Offer. Limited Time,0.0,Limited-time Message
LIMITED TIME OFFER,0.0,Limited-time Message
LAYAWAY SALE WE WILL MATCH YOUR INITIAL PAYMENT. LIMITED TIME ONLY,0.0,Limited-time Message
"Limited time only: FREE SHIPPING on all orders, no minimum required!",0.0,Limited-time Message
20% OFF VALENTINE\u2019S DAY FAVOURITES * | LIMITED TIME ONLY,0.0,Limited-time Message
LIMITED TIME ONLY 10 OFF 50 SPEND NEW CUSTOMERS ONLY - TERMS & CONDITIONS APPLY,0.0,Limited-time Message
Limited Time Only! 20% Off,0.0,Limited-time Message
"Free Upgrade, Limited Time!\n*DISH Install Not Available*",0.0,Limited-time Message
"Rs 4,013 (Retail Discount) + Rs 2,997 (Limited Time Coupon)",0.0,Limited-time Message
SAVE TODAY: Save 20% on lighting by Le Klint. Limited time only.,0.0,Limited-time Message
Only 2 units left in stock,0.0,Low-stock Message
Only 1 left in stock,0.0,Low-stock Message
Limited Stock,0.0,Low-stock Message
ONLY 4 LEFT IN STOCK,0.0,Low-stock Message
Only 1 left,0.0,Low-stock Message
4 items left,0.0,Low-stock Message
Only 2 left in stock,0.0,Low-stock Message
Low In Stock Today,0.0,Low-stock Message
ONLY 3 LEFT IN STOCK.,0.0,Low-stock Message
Only 9 items left!,0.0,Low-stock Message
Only 4 left in stock,0.0,Low-stock Message
"894 Claimed! Hurry, only a few left!",0.0,Low-stock Message
Only 1 unit left in stock,0.0,Low-stock Message
