content,presence
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
(from 04/08/2021 to 22/09/2021),0
Compare (up to 4 items),0
More storage spaceFeaturing SpaceMax technology the Samsung RB34T632EBN/EU 70/30 Fridge Freezer has slimmer walls so it can offer an impressive 227 litres of fridge space and 114 litres of freezer capacity. All that is done without compromizing...,0
"With a fridge freezer you save space by using one tall unit to store all your fresh produce and other necessities… like ice cream (because frozen sweet treats absolutely are an essential, right?).",0
"First things first, decide your ideal split – there’s everything from 50/50 for those with lots of frozen goodies to 80/20 for fresh food devotees. Then select your perfect type. Choose a freestanding model, or an",0
Bored of scraping out icy drifts? A frost-free fridge freezer does away with the need for manual defrosting. Fist bumps all round to that. Machines with fast freeze and fast chill functions get your groceries down to temperature super-quick. Take a look at the,0
collection and you’ll even find units with open door alarms. Clever.,0
Ready to choose your favourite? Then it’s time to browse our full collection.,0
Find out all you need to know about chillers from our,0
Let's email you when it's back in stock,0
Please complete your details. We'll only use these to contact you about this item.,0
* We'll need this to email you,0
"To show you Currys stores local to you, all we need is your eircode.",0
"©  Currys Ireland Limited, 3rd Floor Office Suite, Omni Shopping Centre, Santry, Dublin 9, Ireland Incorporated in Ireland, a private company with issued shares. Registration Number 259460. VAT Number 8259460C.",0
"By clicking “Accept Cookies”, you agree to the storing of cookies on your device to enhance site navigation, analyze site usage, and assist in our marketing efforts. You can change your mind at any time.",0
