content,presence
"Massive capacityGot a large family to feed? Then you'll need a large refrigerator, too. The Logik LSBSX20 American-Style Fridge Freezer fits the bill. It has a colossal amount of space for your entire weekly shopping, with plenty of shelves, and a...",0
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
+ 2 more offers,0
Save €160.00,0
FAST delivery,0
Collection not available,0
"Total no frostIce forming in the freezer is a bother to clean out, and uses up space that was reserved for ice-creams. The Samsung RS3000 RS52N3313SA/EU American-Style Fridge Freezer doesn't form frost, so you won't need a chisel to get through to...",0
Pro HarvestFresh BCFD3V73 Integrated 70/30 Fridge Freezer - Sliding Hinge,0
No need to defrost with frost free technology,0
3 colour light technology preserves vitamins in fruits and vegetables,0
Fast freeze rapidly lowers the temperature inside the freezer,0
Get FREE Delivery & Recycling on this Go Greener appliance. Enter code GG25IE at checkout,0
+ 5 more offers,0
Save €40.00,0
FAST delivery,0
Collection not available,0
Efficient  The Beko Pro HarvestFresh BCFD3V73 Integrated 70/30 Fridge Freezer is a spacious and convenient combined fridge freezer for your kitchen. It comes with easy-to-cotrol touch display and intelligent features such as frost free freezer...,0
No need to defrost with frost free technology,0
Fast chill rapidly lowers the temperature inside the fridge,0
Fast freeze rapidly lowers the temperature inside the freezer,0
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
+ 2 more offers,0
Save €100.00,0
FAST delivery,0
Collection not available,0
"Plenty of storage spaceThe Kenwood KSBSB20 American-Style Fridge Freezer has a large 532 litre capacity, making it easy to store all of your chilled and frozen goods. Fast chill and freeze options allow you to quickly lower the internal...",0
No need to defrost with frost free technology,0
Fast chill rapidly lowers the temperature inside the fridge,0
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
+ 2 more offers,0
Save €150.00,0
FAST delivery,0
Collection not available,0
"Keep food fresher for longer  The Kenwood KSBNDIX20 American-Style Fridge Freezer helps you preserve your food for longer. The Multi Cooling System uses eight air ducts that spread cool air quickly and evenly to keep your food at its most fresh,...",0
No need to defrost with frost free technology,0
Get FREE Delivery & Recycling on this Go Greener appliance. Enter code GG25IE at checkout,0
+ 3 more offers,0
Save €100.00,0
FAST delivery,0
Collection not available,0
"Prevent ice build-upNever manually defrost your freezer again, with Bosch's NoFrost technology. NoFrost prevents ice build-up by collecting moisture on the evaporator rather than on the appliance itself, so you can utilise every inch of the space...",0
Get FREE Delivery & Recycling on this Go Greener appliance. Enter code GG25IE at checkout,0
+ 3 more offers,0
Save €310.00,0
FAST delivery,0
Collection not available,0
"Track your food effortlessly  Combining modern technology with elegant design, the Samsung RS6HA8880S9/EU American-Style Smart Fridge Freezer is sure to be the heart of your kitchen. It's got three built-in cameras that let you see what's inside...",0
No need to defrost with frost free technology,0
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
+ 2 more offers,0
Save €50.00,0
FAST delivery,0
Collection not available,0
"Versatile fridge freezerKeep all your household foods fresh and at their best in the Beko CXFP3582DS 50/50 Fridge Freezer. Whether you're chilling fruit and veg in the large salad crisper, making sure tomorrow's packed lunch stays fresh...",0
No need to defrost with frost free technology,0
Fan cooling creates the ideal conditions in your fridge,0
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
+ 2 more offers,0
Save €70.00,0
FAST delivery,0
Collection not available,0
"Chilled water on demandFancy a cool glass of water on a hot day? The Hisense RB327N4WB1 50/50 Fridge Freezer has a built-in water dispenser, so you can enjoy a refreshing glass of chilled water at any time. Simply fill the internal reservoir -...",0
No need to defrost with frost free technology,0
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
+ 2 more offers,0
Save €20.00,0
FAST delivery,0
Collection not available,0
Keep your food fresh and organisedIt's easy to stay organised with the Bosch Serie 2 KGN34NWEAG 50/50 Fridge Freezer and its MultiBox system. The larger drawer at the bottom of the fridge is perfect for storing your fruits and vegetables.And to...,0
No need to defrost with frost free technology,0
Fan cooling creates the ideal conditions in your fridge,0
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
+ 2 more offers,0
Save €50.00,0
FAST delivery,0
Collection not available,0
"Adjustable fridge space  You'll have plenty of space to keep your food fresh in the Beko CFG3552S 50/50 Fridge Freezer. Not only is it spacious, but you can adjust the glass shelves to the height you want them – ideal for storing taller items...",0
No need to defrost with frost free technology,0
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
+ 2 more offers,0
Save €60.00,0
FAST delivery,0
Collection not available,0
Keep your food fresh and organisedIt's easy to stay organised with the Bosch Serie 2 KGN34NLEAG 50/50 Fridge Freezer and its MultiBox system. The larger drawer at the bottom of the fridge is perfect for storing your fruits and vegetables.And to...,0
Pro HarvestFresh CFP3691DVS 50/50 Fridge Freezer - Matte Silver,0
No need to defrost with frost free technology,0
3 colour light technology preserves vitamins in fruits and vegetables,0
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
+ 2 more offers,0
Save €70.00,0
FAST delivery,0
Collection not available,0
HarvestFresh technologyWith 190 litres capacity of fridge and 134 litres of freezer the Beko Pro CFP3691DVS 50/50 Fridge Freezer provides convenient storage space for all your food.Thanks to adjustable shelves the interior of the fridge can...,0
No need to defrost with frost free technology,0
Get FREE Delivery & Recycling on this Go Greener appliance. Enter code GG25IE at checkout,0
+ 3 more offers,0
Save €120.00,0
FAST delivery,0
Collection not available,0
"Prevent ice build-upNever manually defrost your freezer again, with Bosch's NoFrost technology. NoFrost prevents ice build-up by collecting moisture on the evaporator rather than on the appliance itself, so you can utilise every inch of the space...",0
Fast chill rapidly lowers the temperature inside the fridge,0
DISCOUNT CODE: €100 OFF when you spend €1000 on 2 or more large kitchen appliances.Use code LKA100IE,0
+ 2 more offers,0
Save €80.00,0
FAST delivery,0
Collection not available,0
More storage spaceFeaturing SpaceMax technology the Samsung RB34T632EBN/EU 70/30 Fridge Freezer has slimmer walls so it can offer an impressive 227 litres of fridge space and 114 litres of freezer capacity. All that is done without compromizing...,0
"With a fridge freezer you save space by using one tall unit to store all your fresh produce and other necessities… like ice cream (because frozen sweet treats absolutely are an essential, right?).",0
"First things first, decide your ideal split – there’s everything from 50/50 for those with lots of frozen goodies to 80/20 for fresh food devotees. Then select your perfect type. Choose a freestanding model, or an",0
to slot right into that seamless look across your fitted kitchen.,0
Bored of scraping out icy drifts? A frost-free fridge freezer does away with the need for manual defrosting. Fist bumps all round to that. Machines with fast freeze and fast chill functions get your groceries down to temperature super-quick. Take a look at the,0
collection and you’ll even find units with open door alarms. Clever.,0
Ready to choose your favourite? Then it’s time to browse our full collection.,0
Find out all you need to know about chillers from our,0
Back to top,0
Let's email you when it's back in stock,0
Please complete your details. We'll only use these to contact you about this item.,0
Last name,0
* We'll need this to email you,0
Shopping with Currys,0
"To show you Currys stores local to you, all we need is your eircode.",0
About Currys Ireland Limited,0
"©  Currys Ireland Limited, 3rd Floor Office Suite, Omni Shopping Centre, Santry, Dublin 9, Ireland Incorporated in Ireland, a private company with issued shares. Registration Number 259460. VAT Number 8259460C.",0
Strictly Necessary Cookies,0
Strictly Necessary Cookies,0
